Feature 1,Feature 2,Correlation
sensor_15,sensor_7,0.3371097288462261
sensor_7,sensor_1,0.3229644012471919
sensor_1,sensor_7,0.3229644012471919
sensor_2,sensor_7,0.2974286048640259
sensor_7,sensor_2,0.2974286048640259
sensor_7,sensor_13,0.29375306140751223
sensor_13,sensor_7,0.29375306140751223
sensor_7,sensor_19,-0.2927951918590656
sensor_19,sensor_7,-0.2927951918590656
sensor_18,sensor_7,-0.28527966946137756
sensor_7,sensor_18,-0.28527966946137756
sensor_9,sensor_7,0.274591217379591
sensor_7,sensor_9,0.274591217379591
operational_setting_3,sensor_7,0.2737642497712981
sensor_7,operational_setting_3,0.2737642497712981
sensor_15,sensor_12,0.24662076009569614
sensor_12,sensor_15,0.24662076009569614
sensor_1,sensor_12,0.23713725709941313
sensor_12,sensor_1,0.23713725709941313
sensor_5,sensor_7,-0.21783524789184075
sensor_7,sensor_5,-0.21783524789184075
sensor_7,sensor_10,-0.21023832661481978
sensor_10,sensor_7,-0.21023832661481978
sensor_13,sensor_12,0.19376095995422535
sensor_12,sensor_13,0.19376095995422535
sensor_19,sensor_12,-0.19241506408879974
sensor_12,sensor_19,-0.19241506408879974
sensor_2,sensor_12,0.19074766359059775
sensor_12,sensor_2,0.19074766359059775
sensor_12,sensor_18,-0.18736446308674357
sensor_18,sensor_12,-0.18736446308674357
sensor_12,operational_setting_3,0.17975200898130694
operational_setting_3,sensor_12,0.17975200898130694
sensor_12,sensor_9,0.16340794452120236
sensor_9,sensor_12,0.16340794452120236
sensor_9,sensor_4,0.16001446079151
sensor_4,sensor_9,0.16001446079151
sensor_11,sensor_4,0.15827624033844803
sensor_4,sensor_11,0.15827624033844803
sensor_4,sensor_10,-0.1558837465096718
sensor_10,sensor_4,-0.1558837465096718
sensor_5,sensor_4,-0.15572021582853446
sensor_4,sensor_5,-0.15572021582853446
sensor_4,sensor_6,0.15216063936477123
sensor_6,sensor_4,0.15216063936477123
sensor_4,sensor_2,0.15048012790900522
sensor_2,sensor_4,0.15048012790900522
sensor_4,sensor_13,0.14904195424512004
sensor_13,sensor_4,0.14904195424512004
sensor_11,sensor_12,-0.1470360119066831
sensor_12,sensor_11,-0.1470360119066831
sensor_6,sensor_12,-0.1447869585928319
sensor_12,sensor_6,-0.1447869585928319
sensor_4,sensor_18,-0.14141850354009614
sensor_18,sensor_4,-0.14141850354009614
sensor_19,sensor_4,-0.1374186349766326
sensor_4,sensor_19,-0.1374186349766326
sensor_4,operational_setting_3,0.13224249106312774
operational_setting_3,sensor_4,0.13224249106312774
sensor_15,sensor_4,0.1308095801422252
sensor_4,sensor_15,0.1308095801422252
sensor_1,sensor_4,0.11603935842710657
sensor_4,sensor_1,0.11603935842710657
sensor_12,sensor_5,-0.11005295045571616
sensor_5,sensor_12,-0.11005295045571616
sensor_10,sensor_12,-0.09814050827141887
sensor_12,sensor_10,-0.09814050827141887
sensor_7,sensor_11,-0.03476250344408918
sensor_11,sensor_7,-0.03476250344408918
sensor_7,sensor_6,-0.03209112729242318
sensor_6,sensor_7,-0.03209112729242318
sensor_7,sensor_4,0.01934724129304285
sensor_4,sensor_7,0.01934724129304285
time_in_cycles,sensor_11,0.018156351085367263
sensor_11,time_in_cycles,0.018156351085367263
time_in_cycles,sensor_5,-0.016677896189444423
sensor_5,time_in_cycles,-0.016677896189444423
time_in_cycles,sensor_2,0.014672839526545255
sensor_2,time_in_cycles,0.014672839526545255
sensor_19,unit_number,-0.014558624214589458
unit_number,sensor_19,-0.014558624214589458
time_in_cycles,sensor_4,0.014354580309566904
sensor_4,time_in_cycles,0.014354580309566904
time_in_cycles,sensor_13,0.014156031526539206
sensor_13,time_in_cycles,0.014156031526539206
time_in_cycles,sensor_6,0.013284729768376668
sensor_6,time_in_cycles,0.013284729768376668
time_in_cycles,sensor_15,0.012279786815808661
sensor_15,time_in_cycles,0.012279786815808661
time_in_cycles,sensor_9,0.011690379032134058
sensor_9,time_in_cycles,0.011690379032134058
unit_number,time_in_cycles,0.011660441595286808
time_in_cycles,unit_number,0.011660441595286808
sensor_9,unit_number,0.011657841533232174
unit_number,sensor_9,0.011657841533232174
time_in_cycles,sensor_10,-0.010922543944429137
sensor_10,time_in_cycles,-0.010922543944429137
time_in_cycles,sensor_18,-0.010554032598905647
sensor_18,time_in_cycles,-0.010554032598905647
unit_number,sensor_2,0.009543964889851311
sensor_2,unit_number,0.009543964889851311
unit_number,sensor_5,-0.00943732828156589
sensor_5,unit_number,-0.00943732828156589
time_in_cycles,sensor_1,0.009067833478139067
sensor_1,time_in_cycles,0.009067833478139067
operational_setting_3,unit_number,0.009029868145964626
unit_number,operational_setting_3,0.009029868145964626
time_in_cycles,sensor_19,-0.007845559001333373
sensor_19,time_in_cycles,-0.007845559001333373
unit_number,sensor_13,0.00765199456307706
sensor_13,unit_number,0.00765199456307706
operational_setting_3,time_in_cycles,0.007266241872270986
time_in_cycles,operational_setting_3,0.007266241872270986
sensor_12,time_in_cycles,-0.006310324293047005
time_in_cycles,sensor_12,-0.006310324293047005
sensor_18,unit_number,-0.005712625466433219
unit_number,sensor_18,-0.005712625466433219
sensor_1,unit_number,-0.005651100503660651
unit_number,sensor_1,-0.005651100503660651
sensor_7,time_in_cycles,-0.005424966238625297
time_in_cycles,sensor_7,-0.005424966238625297
sensor_12,unit_number,-0.004469387706847732
unit_number,sensor_12,-0.004469387706847732
unit_number,sensor_7,-0.004278809097752131
sensor_7,unit_number,-0.004278809097752131
unit_number,sensor_15,0.0025991979886555864
sensor_15,unit_number,0.0025991979886555864
unit_number,sensor_11,0.0023177866967416076
sensor_11,unit_number,0.0023177866967416076
sensor_12,sensor_4,-0.0021123292305550985
sensor_4,sensor_12,-0.0021123292305550985
unit_number,sensor_10,-0.001490794946577338
sensor_10,unit_number,-0.001490794946577338
sensor_4,unit_number,-0.001340410004502472
unit_number,sensor_4,-0.001340410004502472
unit_number,sensor_6,-0.00042668682631494075
sensor_6,unit_number,-0.00042668682631494075
unit_number,operational_setting_1,
unit_number,operational_setting_2,
unit_number,sensor_3,
unit_number,sensor_8,
unit_number,sensor_14,
unit_number,sensor_16,
unit_number,sensor_17,
time_in_cycles,operational_setting_1,
time_in_cycles,operational_setting_2,
time_in_cycles,sensor_3,
time_in_cycles,sensor_8,
time_in_cycles,sensor_14,
time_in_cycles,sensor_16,
time_in_cycles,sensor_17,
operational_setting_1,unit_number,
operational_setting_1,time_in_cycles,
operational_setting_1,operational_setting_2,
operational_setting_1,operational_setting_3,
operational_setting_1,sensor_1,
operational_setting_1,sensor_2,
operational_setting_1,sensor_3,
operational_setting_1,sensor_4,
operational_setting_1,sensor_5,
operational_setting_1,sensor_6,
operational_setting_1,sensor_7,
operational_setting_1,sensor_8,
operational_setting_1,sensor_9,
operational_setting_1,sensor_10,
operational_setting_1,sensor_11,
operational_setting_1,sensor_12,
operational_setting_1,sensor_13,
operational_setting_1,sensor_14,
operational_setting_1,sensor_15,
operational_setting_1,sensor_16,
operational_setting_1,sensor_17,
operational_setting_1,sensor_18,
operational_setting_1,sensor_19,
operational_setting_2,unit_number,
operational_setting_2,time_in_cycles,
operational_setting_2,operational_setting_1,
operational_setting_2,operational_setting_3,
operational_setting_2,sensor_1,
operational_setting_2,sensor_2,
operational_setting_2,sensor_3,
operational_setting_2,sensor_4,
operational_setting_2,sensor_5,
operational_setting_2,sensor_6,
operational_setting_2,sensor_7,
operational_setting_2,sensor_8,
operational_setting_2,sensor_9,
operational_setting_2,sensor_10,
operational_setting_2,sensor_11,
operational_setting_2,sensor_12,
operational_setting_2,sensor_13,
operational_setting_2,sensor_14,
operational_setting_2,sensor_15,
operational_setting_2,sensor_16,
operational_setting_2,sensor_17,
operational_setting_2,sensor_18,
operational_setting_2,sensor_19,
operational_setting_3,operational_setting_1,
operational_setting_3,operational_setting_2,
operational_setting_3,sensor_3,
operational_setting_3,sensor_8,
operational_setting_3,sensor_14,
operational_setting_3,sensor_16,
operational_setting_3,sensor_17,
sensor_1,operational_setting_1,
sensor_1,operational_setting_2,
sensor_1,sensor_3,
sensor_1,sensor_8,
sensor_1,sensor_14,
sensor_1,sensor_16,
sensor_1,sensor_17,
sensor_2,operational_setting_1,
sensor_2,operational_setting_2,
sensor_2,sensor_3,
sensor_2,sensor_8,
sensor_2,sensor_14,
sensor_2,sensor_16,
sensor_2,sensor_17,
sensor_3,unit_number,
sensor_3,time_in_cycles,
sensor_3,operational_setting_1,
sensor_3,operational_setting_2,
sensor_3,operational_setting_3,
sensor_3,sensor_1,
sensor_3,sensor_2,
sensor_3,sensor_4,
sensor_3,sensor_5,
sensor_3,sensor_6,
sensor_3,sensor_7,
sensor_3,sensor_8,
sensor_3,sensor_9,
sensor_3,sensor_10,
sensor_3,sensor_11,
sensor_3,sensor_12,
sensor_3,sensor_13,
sensor_3,sensor_14,
sensor_3,sensor_15,
sensor_3,sensor_16,
sensor_3,sensor_17,
sensor_3,sensor_18,
sensor_3,sensor_19,
sensor_4,operational_setting_1,
sensor_4,operational_setting_2,
sensor_4,sensor_3,
sensor_4,sensor_8,
sensor_4,sensor_14,
sensor_4,sensor_16,
sensor_4,sensor_17,
sensor_5,operational_setting_1,
sensor_5,operational_setting_2,
sensor_5,sensor_3,
sensor_5,sensor_8,
sensor_5,sensor_14,
sensor_5,sensor_16,
sensor_5,sensor_17,
sensor_6,operational_setting_1,
sensor_6,operational_setting_2,
sensor_6,sensor_3,
sensor_6,sensor_8,
sensor_6,sensor_14,
sensor_6,sensor_16,
sensor_6,sensor_17,
sensor_7,operational_setting_1,
sensor_7,operational_setting_2,
sensor_7,sensor_3,
sensor_7,sensor_8,
sensor_7,sensor_14,
sensor_7,sensor_16,
sensor_7,sensor_17,
sensor_8,unit_number,
sensor_8,time_in_cycles,
sensor_8,operational_setting_1,
sensor_8,operational_setting_2,
sensor_8,operational_setting_3,
sensor_8,sensor_1,
sensor_8,sensor_2,
sensor_8,sensor_3,
sensor_8,sensor_4,
sensor_8,sensor_5,
sensor_8,sensor_6,
sensor_8,sensor_7,
sensor_8,sensor_9,
sensor_8,sensor_10,
sensor_8,sensor_11,
sensor_8,sensor_12,
sensor_8,sensor_13,
sensor_8,sensor_14,
sensor_8,sensor_15,
sensor_8,sensor_16,
sensor_8,sensor_17,
sensor_8,sensor_18,
sensor_8,sensor_19,
sensor_9,operational_setting_1,
sensor_9,operational_setting_2,
sensor_9,sensor_3,
sensor_9,sensor_8,
sensor_9,sensor_14,
sensor_9,sensor_16,
sensor_9,sensor_17,
sensor_10,operational_setting_1,
sensor_10,operational_setting_2,
sensor_10,sensor_3,
sensor_10,sensor_8,
sensor_10,sensor_14,
sensor_10,sensor_16,
sensor_10,sensor_17,
sensor_11,operational_setting_1,
sensor_11,operational_setting_2,
sensor_11,sensor_3,
sensor_11,sensor_8,
sensor_11,sensor_14,
sensor_11,sensor_16,
sensor_11,sensor_17,
sensor_12,operational_setting_1,
sensor_12,operational_setting_2,
sensor_12,sensor_3,
sensor_12,sensor_8,
sensor_12,sensor_14,
sensor_12,sensor_16,
sensor_12,sensor_17,
sensor_13,operational_setting_1,
sensor_13,operational_setting_2,
sensor_13,sensor_3,
sensor_13,sensor_8,
sensor_13,sensor_14,
sensor_13,sensor_16,
sensor_13,sensor_17,
sensor_14,unit_number,
sensor_14,time_in_cycles,
sensor_14,operational_setting_1,
sensor_14,operational_setting_2,
sensor_14,operational_setting_3,
sensor_14,sensor_1,
sensor_14,sensor_2,
sensor_14,sensor_3,
sensor_14,sensor_4,
sensor_14,sensor_5,
sensor_14,sensor_6,
sensor_14,sensor_7,
sensor_14,sensor_8,
sensor_14,sensor_9,
sensor_14,sensor_10,
sensor_14,sensor_11,
sensor_14,sensor_12,
sensor_14,sensor_13,
sensor_14,sensor_15,
sensor_14,sensor_16,
sensor_14,sensor_17,
sensor_14,sensor_18,
sensor_14,sensor_19,
sensor_15,operational_setting_1,
sensor_15,operational_setting_2,
sensor_15,sensor_3,
sensor_15,sensor_8,
sensor_15,sensor_14,
sensor_15,sensor_16,
sensor_15,sensor_17,
sensor_16,unit_number,
sensor_16,time_in_cycles,
sensor_16,operational_setting_1,
sensor_16,operational_setting_2,
sensor_16,operational_setting_3,
sensor_16,sensor_1,
sensor_16,sensor_2,
sensor_16,sensor_3,
sensor_16,sensor_4,
sensor_16,sensor_5,
sensor_16,sensor_6,
sensor_16,sensor_7,
sensor_16,sensor_8,
sensor_16,sensor_9,
sensor_16,sensor_10,
sensor_16,sensor_11,
sensor_16,sensor_12,
sensor_16,sensor_13,
sensor_16,sensor_14,
sensor_16,sensor_15,
sensor_16,sensor_17,
sensor_16,sensor_18,
sensor_16,sensor_19,
sensor_17,unit_number,
sensor_17,time_in_cycles,
sensor_17,operational_setting_1,
sensor_17,operational_setting_2,
sensor_17,operational_setting_3,
sensor_17,sensor_1,
sensor_17,sensor_2,
sensor_17,sensor_3,
sensor_17,sensor_4,
sensor_17,sensor_5,
sensor_17,sensor_6,
sensor_17,sensor_7,
sensor_17,sensor_8,
sensor_17,sensor_9,
sensor_17,sensor_10,
sensor_17,sensor_11,
sensor_17,sensor_12,
sensor_17,sensor_13,
sensor_17,sensor_14,
sensor_17,sensor_15,
sensor_17,sensor_16,
sensor_17,sensor_18,
sensor_17,sensor_19,
sensor_18,operational_setting_1,
sensor_18,operational_setting_2,
sensor_18,sensor_3,
sensor_18,sensor_8,
sensor_18,sensor_14,
sensor_18,sensor_16,
sensor_18,sensor_17,
sensor_19,operational_setting_1,
sensor_19,operational_setting_2,
sensor_19,sensor_3,
sensor_19,sensor_8,
sensor_19,sensor_14,
sensor_19,sensor_16,
sensor_19,sensor_17,
